ID,Sex,Twin,BirthYear,Year,Age,OffspringBorn,Lifespan,MotherID,FatherID,MumAge,DadAge,MumAgeClass,DadAgeClass,MumLifespan,DadLifespan
1,Female,0,1986,1986,0,1,10,3,10,6,1,AdultMum,AdultDad,2,7
1,Female,0,1986,1987,1,1,10,3,10,6,1,AdultMum,AdultDad,2,7
1,Female,0,1986,1988,2,1,10,3,10,6,1,AdultMum,AdultDad,2,7
1,Female,0,1986,1989,3,2,10,3,10,6,1,AdultMum,AdultDad,2,7
1,Female,0,1986,1990,4,2,10,3,10,6,1,AdultMum,AdultDad,2,7
1,Female,0,1986,1991,5,2,10,3,10,6,1,AdultMum,AdultDad,2,7
1,Female,0,1986,1992,6,1,10,3,10,6,1,AdultMum,AdultDad,2,7
1,Female,0,1986,1993,7,1,10,3,10,6,1,AdultMum,AdultDad,2,7
1,Female,0,1986,1994,8,2,10,3,10,6,1,AdultMum,AdultDad,2,7
1,Female,0,1986,1995,9,2,10,3,10,6,1,AdultMum,AdultDad,2,7
1,Female,0,1986,1996,10,0,10,3,10,6,1,AdultMum,AdultDad,2,7
2,Male,0,1987,1987,0,1,1,15,1,5,6,AdultMum,AdultDad,6,3
2,Male,0,1987,1988,1,0,1,15,1,5,6,AdultMum,AdultDad,6,3
3,Female,1,1987,1987,0,1,10,6,8,6,3,AdultMum,AdultDad,3,3
3,Female,1,1987,1988,1,1,10,6,8,6,3,AdultMum,AdultDad,3,3
3,Female,1,1987,1989,2,1,10,6,8,6,3,AdultMum,AdultDad,3,3
3,Female,1,1987,1990,3,1,10,6,8,6,3,AdultMum,AdultDad,3,3
3,Female,1,1987,1991,4,1,10,6,8,6,3,AdultMum,AdultDad,3,3
3,Female,1,1987,1992,5,2,10,6,8,6,3,AdultMum,AdultDad,3,3
3,Female,1,1987,1993,6,1,10,6,8,6,3,AdultMum,AdultDad,3,3
3,Female,1,1987,1994,7,1,10,6,8,6,3,AdultMum,AdultDad,3,3
3,Female,1,1987,1995,8,1,10,6,8,6,3,AdultMum,AdultDad,3,3
3,Female,1,1987,1996,9,2,10,6,8,6,3,AdultMum,AdultDad,3,3
3,Female,1,1987,1997,10,0,10,6,8,6,3,AdultMum,AdultDad,3,3
4,Female,0,1987,1987,0,1,1,4,3,7,5,AdultMum,AdultDad,3,3
4,Female,0,1987,1988,1,1,1,4,3,7,5,AdultMum,AdultDad,3,3
5,Male,0,1987,1987,0,0,2,51,4,1,4,AdultMum,AdultDad,8,3
5,Male,0,1987,1988,1,0,2,51,4,1,4,AdultMum,AdultDad,8,3
5,Male,0,1987,1989,2,1,2,51,4,1,4,AdultMum,AdultDad,8,3
6,Female,0,1987,1987,0,1,1,53,17,0,0,LambMum,LambDad,1,2
6,Female,0,1987,1988,1,0,1,53,17,0,0,LambMum,LambDad,1,2
7,Female,0,1987,1987,0,0,8,30,15,3,0,AdultMum,LambDad,8,2
7,Female,0,1987,1988,1,1,8,30,15,3,0,AdultMum,LambDad,8,2
7,Female,0,1987,1989,2,1,8,30,15,3,0,AdultMum,LambDad,8,2
7,Female,0,1987,1990,3,2,8,30,15,3,0,AdultMum,LambDad,8,2
7,Female,0,1987,1991,4,1,8,30,15,3,0,AdultMum,LambDad,8,2
7,Female,0,1987,1992,5,1,8,30,15,3,0,AdultMum,LambDad,8,2
7,Female,0,1987,1993,6,2,8,30,15,3,0,AdultMum,LambDad,8,2
7,Female,0,1987,1994,7,1,8,30,15,3,0,AdultMum,LambDad,8,2
7,Female,0,1987,1995,8,0,8,30,15,3,0,AdultMum,LambDad,8,2
8,Female,0,1987,1987,0,1,1,35,19,2,0,AdultMum,LambDad,9,1
8,Female,0,1987,1988,1,0,1,35,19,2,0,AdultMum,LambDad,9,1
9,Female,1,1987,1987,0,1,1,37,3,2,5,AdultMum,AdultDad,9,3
9,Female,1,1987,1988,1,0,1,37,3,2,5,AdultMum,AdultDad,9,3
10,Male,1,1987,1987,0,1,1,37,18,2,0,AdultMum,LambDad,9,2
10,Male,1,1987,1988,1,1,1,37,18,2,0,AdultMum,LambDad,9,2
11,Male,1,1987,1987,0,1,1,26,10,3,2,AdultMum,AdultDad,6,7
11,Male,1,1987,1988,1,NA,1,26,10,3,2,AdultMum,AdultDad,6,7
12,Female,0,1987,1987,0,1,4,25,10,3,2,AdultMum,AdultDad,7,7
12,Female,0,1987,1988,1,1,4,25,10,3,2,AdultMum,AdultDad,7,7
12,Female,0,1987,1989,2,1,4,25,10,3,2,AdultMum,AdultDad,7,7
12,Female,0,1987,1990,3,2,4,25,10,3,2,AdultMum,AdultDad,7,7
12,Female,0,1987,1991,4,2,4,25,10,3,2,AdultMum,AdultDad,7,7
13,Male,0,1987,1987,0,0,1,49,11,1,1,AdultMum,AdultDad,9,3
13,Male,0,1987,1988,1,0,1,49,11,1,1,AdultMum,AdultDad,9,3
14,Male,0,1987,1987,0,1,1,31,12,3,1,AdultMum,AdultDad,3,3
14,Male,0,1987,1988,1,NA,1,31,12,3,1,AdultMum,AdultDad,3,3
15,Female,0,1987,1987,0,1,1,54,15,0,0,LambMum,LambDad,4,2
15,Female,0,1987,1988,1,0,1,54,15,0,0,LambMum,LambDad,4,2
16,Male,1,1987,1987,0,0,1,14,9,5,2,AdultMum,AdultDad,3,3
16,Male,1,1987,1988,1,NA,1,14,9,5,2,AdultMum,AdultDad,3,3
17,Male,1,1987,1987,0,0,1,14,2,5,6,AdultMum,AdultDad,3,3
17,Male,1,1987,1988,1,0,1,14,2,5,6,AdultMum,AdultDad,3,3
18,Male,1,1987,1987,0,2,3,48,3,2,5,AdultMum,AdultDad,8,3
18,Male,1,1987,1988,1,0,3,48,3,2,5,AdultMum,AdultDad,8,3
18,Male,1,1987,1989,2,6,3,48,3,2,5,AdultMum,AdultDad,8,3
18,Male,1,1987,1990,3,NA,3,48,3,2,5,AdultMum,AdultDad,8,3
19,Male,0,1987,1987,0,0,1,62,13,0,1,LambMum,AdultDad,2,9
19,Male,0,1987,1988,1,0,1,62,13,0,1,LambMum,AdultDad,2,9
20,Male,0,1987,1987,0,0,1,41,21,2,0,AdultMum,LambDad,11,4
20,Male,0,1987,1988,1,NA,1,41,21,2,0,AdultMum,LambDad,11,4
21,Female,0,1987,1987,0,1,1,29,7,3,3,AdultMum,AdultDad,9,4
21,Female,0,1987,1988,1,0,1,29,7,3,3,AdultMum,AdultDad,9,4
22,Female,0,1987,1987,0,NA,1,8,8,6,3,AdultMum,AdultDad,2,3
22,Female,0,1987,1988,1,NA,1,8,8,6,3,AdultMum,AdultDad,2,3
23,Male,1,1987,1987,0,NA,1,9,5,6,4,AdultMum,AdultDad,3,3
23,Male,1,1987,1988,1,1,1,9,5,6,4,AdultMum,AdultDad,3,3
24,Male,0,1987,1987,0,0,1,1,9,8,2,AdultMum,AdultDad,3,3
24,Male,0,1987,1988,1,0,1,1,9,8,2,AdultMum,AdultDad,3,3
25,Male,1,1987,1987,0,0,1,6,8,6,3,AdultMum,AdultDad,3,3
25,Male,1,1987,1988,1,0,1,6,8,6,3,AdultMum,AdultDad,3,3
26,Male,0,1987,1987,0,1,7,34,3,3,5,AdultMum,AdultDad,12,3
26,Male,0,1987,1988,1,2,7,34,3,3,5,AdultMum,AdultDad,12,3
26,Male,0,1987,1989,2,3,7,34,3,3,5,AdultMum,AdultDad,12,3
26,Male,0,1987,1990,3,2,7,34,3,3,5,AdultMum,AdultDad,12,3
26,Male,0,1987,1991,4,0,7,34,3,3,5,AdultMum,AdultDad,12,3
26,Male,0,1987,1992,5,1,7,34,3,3,5,AdultMum,AdultDad,12,3
26,Male,0,1987,1993,6,NA,7,34,3,3,5,AdultMum,AdultDad,12,3
26,Male,0,1987,1994,7,0,7,34,3,3,5,AdultMum,AdultDad,12,3
27,Female,0,1987,1987,0,1,10,23,9,3,2,AdultMum,AdultDad,11,3
27,Female,0,1987,1988,1,1,10,23,9,3,2,AdultMum,AdultDad,11,3
27,Female,0,1987,1989,2,1,10,23,9,3,2,AdultMum,AdultDad,11,3
27,Female,0,1987,1990,3,0,10,23,9,3,2,AdultMum,AdultDad,11,3
27,Female,0,1987,1991,4,1,10,23,9,3,2,AdultMum,AdultDad,11,3
27,Female,0,1987,1992,5,1,10,23,9,3,2,AdultMum,AdultDad,11,3
27,Female,0,1987,1993,6,1,10,23,9,3,2,AdultMum,AdultDad,11,3
27,Female,0,1987,1994,7,1,10,23,9,3,2,AdultMum,AdultDad,11,3
27,Female,0,1987,1995,8,1,10,23,9,3,2,AdultMum,AdultDad,11,3
27,Female,0,1987,1996,9,1,10,23,9,3,2,AdultMum,AdultDad,11,3
27,Female,0,1987,1997,10,0,10,23,9,3,2,AdultMum,AdultDad,11,3
28,Female,1,1988,1988,0,NA,1,47,29,3,0,AdultMum,LambDad,9,1
28,Female,1,1988,1989,1,0,1,47,29,3,0,AdultMum,LambDad,9,1
29,Female,0,1988,1988,0,0,1,14,25,6,1,AdultMum,AdultDad,3,2
29,Female,0,1988,1989,1,0,1,14,25,6,1,AdultMum,AdultDad,3,2
30,Male,0,1988,1988,0,0,2,32,9,4,3,AdultMum,AdultDad,9,3
30,Male,0,1988,1989,1,3,2,32,9,4,3,AdultMum,AdultDad,9,3
30,Male,0,1988,1990,2,NA,2,32,9,4,3,AdultMum,AdultDad,9,3
31,Female,0,1988,1988,0,1,7,21,22,4,1,AdultMum,AdultDad,8,2
31,Female,0,1988,1989,1,1,7,21,22,4,1,AdultMum,AdultDad,8,2
31,Female,0,1988,1990,2,1,7,21,22,4,1,AdultMum,AdultDad,8,2
31,Female,0,1988,1991,3,1,7,21,22,4,1,AdultMum,AdultDad,8,2
31,Female,0,1988,1992,4,1,7,21,22,4,1,AdultMum,AdultDad,8,2
31,Female,0,1988,1993,5,0,7,21,22,4,1,AdultMum,AdultDad,8,2
31,Female,0,1988,1994,6,0,7,21,22,4,1,AdultMum,AdultDad,8,2
31,Female,0,1988,1995,7,0,7,21,22,4,1,AdultMum,AdultDad,8,2
32,Female,0,1988,1988,0,0,1,40,6,3,4,AdultMum,AdultDad,6,3
32,Female,0,1988,1989,1,NA,1,40,6,3,4,AdultMum,AdultDad,6,3
33,Female,0,1988,1988,0,0,13,16,14,5,1,AdultMum,AdultDad,3,2
33,Female,0,1988,1989,1,1,13,16,14,5,1,AdultMum,AdultDad,3,2
33,Female,0,1988,1990,2,1,13,16,14,5,1,AdultMum,AdultDad,3,2
33,Female,0,1988,1991,3,1,13,16,14,5,1,AdultMum,AdultDad,3,2
33,Female,0,1988,1992,4,1,13,16,14,5,1,AdultMum,AdultDad,3,2
33,Female,0,1988,1993,5,1,13,16,14,5,1,AdultMum,AdultDad,3,2
33,Female,0,1988,1994,6,1,13,16,14,5,1,AdultMum,AdultDad,3,2
33,Female,0,1988,1995,7,1,13,16,14,5,1,AdultMum,AdultDad,3,2
33,Female,0,1988,1996,8,1,13,16,14,5,1,AdultMum,AdultDad,3,2
33,Female,0,1988,1997,9,1,13,16,14,5,1,AdultMum,AdultDad,3,2
33,Female,0,1988,1998,10,1,13,16,14,5,1,AdultMum,AdultDad,3,2
33,Female,0,1988,1999,11,1,13,16,14,5,1,AdultMum,AdultDad,3,2
33,Female,0,1988,2000,12,1,13,16,14,5,1,AdultMum,AdultDad,3,2
33,Female,0,1988,2001,13,0,13,16,14,5,1,AdultMum,AdultDad,3,2
34,Female,0,1988,1988,0,0,10,39,9,3,3,AdultMum,AdultDad,12,3
34,Female,0,1988,1989,1,1,10,39,9,3,3,AdultMum,AdultDad,12,3
34,Female,0,1988,1990,2,1,10,39,9,3,3,AdultMum,AdultDad,12,3
34,Female,0,1988,1991,3,1,10,39,9,3,3,AdultMum,AdultDad,12,3
34,Female,0,1988,1992,4,1,10,39,9,3,3,AdultMum,AdultDad,12,3
34,Female,0,1988,1993,5,0,10,39,9,3,3,AdultMum,AdultDad,12,3
34,Female,0,1988,1994,6,1,10,39,9,3,3,AdultMum,AdultDad,12,3
34,Female,0,1988,1995,7,1,10,39,9,3,3,AdultMum,AdultDad,12,3
34,Female,0,1988,1996,8,1,10,39,9,3,3,AdultMum,AdultDad,12,3
34,Female,0,1988,1997,9,1,10,39,9,3,3,AdultMum,AdultDad,12,3
34,Female,0,1988,1998,10,0,10,39,9,3,3,AdultMum,AdultDad,12,3
35,Female,0,1988,1988,0,0,10,17,16,5,1,AdultMum,AdultDad,9,2
35,Female,0,1988,1989,1,1,10,17,16,5,1,AdultMum,AdultDad,9,2
35,Female,0,1988,1990,2,2,10,17,16,5,1,AdultMum,AdultDad,9,2
35,Female,0,1988,1991,3,2,10,17,16,5,1,AdultMum,AdultDad,9,2
35,Female,0,1988,1992,4,2,10,17,16,5,1,AdultMum,AdultDad,9,2
35,Female,0,1988,1993,5,2,10,17,16,5,1,AdultMum,AdultDad,9,2
35,Female,0,1988,1994,6,2,10,17,16,5,1,AdultMum,AdultDad,9,2
35,Female,0,1988,1995,7,2,10,17,16,5,1,AdultMum,AdultDad,9,2
35,Female,0,1988,1996,8,2,10,17,16,5,1,AdultMum,AdultDad,9,2
35,Female,0,1988,1997,9,2,10,17,16,5,1,AdultMum,AdultDad,9,2
35,Female,0,1988,1998,10,0,10,17,16,5,1,AdultMum,AdultDad,9,2
36,Female,0,1988,1988,0,0,10,7,5,7,5,AdultMum,AdultDad,3,3
36,Female,0,1988,1989,1,1,10,7,5,7,5,AdultMum,AdultDad,3,3
36,Female,0,1988,1990,2,1,10,7,5,7,5,AdultMum,AdultDad,3,3
36,Female,0,1988,1991,3,1,10,7,5,7,5,AdultMum,AdultDad,3,3
36,Female,0,1988,1992,4,1,10,7,5,7,5,AdultMum,AdultDad,3,3
36,Female,0,1988,1993,5,1,10,7,5,7,5,AdultMum,AdultDad,3,3
36,Female,0,1988,1994,6,1,10,7,5,7,5,AdultMum,AdultDad,3,3
36,Female,0,1988,1995,7,1,10,7,5,7,5,AdultMum,AdultDad,3,3
36,Female,0,1988,1996,8,1,10,7,5,7,5,AdultMum,AdultDad,3,3
36,Female,0,1988,1997,9,1,10,7,5,7,5,AdultMum,AdultDad,3,3
36,Female,0,1988,1998,10,0,10,7,5,7,5,AdultMum,AdultDad,3,3
37,Female,0,1989,1989,0,1,1,75,37,1,0,AdultMum,LambDad,7,0
37,Female,0,1989,1990,1,0,1,75,37,1,0,AdultMum,LambDad,7,0
38,Male,0,1989,1989,0,0,2,18,5,6,6,AdultMum,AdultDad,6,3
38,Male,0,1989,1990,1,2,2,18,5,6,6,AdultMum,AdultDad,6,3
38,Male,0,1989,1991,2,3,2,18,5,6,6,AdultMum,AdultDad,6,3
39,Female,0,1989,1989,0,1,1,43,39,4,0,AdultMum,LambDad,9,0
39,Female,0,1989,1990,1,0,1,43,39,4,0,AdultMum,LambDad,9,0
40,Male,0,1989,1989,0,0,1,28,23,5,2,AdultMum,AdultDad,6,2
40,Male,0,1989,1990,1,NA,1,28,23,5,2,AdultMum,AdultDad,6,2
41,Male,0,1989,1989,0,2,5,17,24,6,2,AdultMum,AdultDad,9,2
41,Male,0,1989,1990,1,7,5,17,24,6,2,AdultMum,AdultDad,9,2
41,Male,0,1989,1991,2,11,5,17,24,6,2,AdultMum,AdultDad,9,2
41,Male,0,1989,1992,3,12,5,17,24,6,2,AdultMum,AdultDad,9,2
41,Male,0,1989,1993,4,8,5,17,24,6,2,AdultMum,AdultDad,9,2
41,Male,0,1989,1994,5,10,5,17,24,6,2,AdultMum,AdultDad,9,2
42,Female,0,1989,1989,0,1,2,50,34,3,1,AdultMum,AdultDad,8,7
42,Female,0,1989,1990,1,1,2,50,34,3,1,AdultMum,AdultDad,8,7
42,Female,0,1989,1991,2,0,2,50,34,3,1,AdultMum,AdultDad,8,7
43,Male,0,1989,1989,0,0,1,70,28,1,1,AdultMum,AdultDad,10,1
43,Male,0,1989,1990,1,0,1,70,28,1,1,AdultMum,AdultDad,10,1
44,Male,0,1989,1989,0,1,2,57,10,2,4,AdultMum,AdultDad,5,7
44,Male,0,1989,1990,1,0,2,57,10,2,4,AdultMum,AdultDad,5,7
44,Male,0,1989,1991,2,1,2,57,10,2,4,AdultMum,AdultDad,5,7
45,Male,0,1989,1989,0,0,1,11,20,7,2,AdultMum,AdultDad,12,2
45,Male,0,1989,1990,1,0,1,11,20,7,2,AdultMum,AdultDad,12,2
46,Male,0,1989,1989,0,NA,5,61,4,2,6,AdultMum,AdultDad,10,3
46,Male,0,1989,1990,1,NA,5,61,4,2,6,AdultMum,AdultDad,10,3
46,Male,0,1989,1991,2,2,5,61,4,2,6,AdultMum,AdultDad,10,3
46,Male,0,1989,1992,3,6,5,61,4,2,6,AdultMum,AdultDad,10,3
46,Male,0,1989,1993,4,3,5,61,4,2,6,AdultMum,AdultDad,10,3
46,Male,0,1989,1994,5,1,5,61,4,2,6,AdultMum,AdultDad,10,3
47,Male,0,1989,1989,0,0,5,33,13,5,3,AdultMum,AdultDad,8,9
47,Male,0,1989,1990,1,0,5,33,13,5,3,AdultMum,AdultDad,8,9
47,Male,0,1989,1991,2,0,5,33,13,5,3,AdultMum,AdultDad,8,9
47,Male,0,1989,1992,3,0,5,33,13,5,3,AdultMum,AdultDad,8,9
47,Male,0,1989,1993,4,0,5,33,13,5,3,AdultMum,AdultDad,8,9
47,Male,0,1989,1994,5,0,5,33,13,5,3,AdultMum,AdultDad,8,9
48,Female,0,1989,1989,0,0,9,22,22,5,2,AdultMum,AdultDad,6,2
48,Female,0,1989,1990,1,1,9,22,22,5,2,AdultMum,AdultDad,6,2
48,Female,0,1989,1991,2,1,9,22,22,5,2,AdultMum,AdultDad,6,2
48,Female,0,1989,1992,3,1,9,22,22,5,2,AdultMum,AdultDad,6,2
48,Female,0,1989,1993,4,1,9,22,22,5,2,AdultMum,AdultDad,6,2
48,Female,0,1989,1994,5,1,9,22,22,5,2,AdultMum,AdultDad,6,2
48,Female,0,1989,1995,6,1,9,22,22,5,2,AdultMum,AdultDad,6,2
48,Female,0,1989,1996,7,1,9,22,22,5,2,AdultMum,AdultDad,6,2
48,Female,0,1989,1997,8,1,9,22,22,5,2,AdultMum,AdultDad,6,2
48,Female,0,1989,1998,9,0,9,22,22,5,2,AdultMum,AdultDad,6,2
49,Female,0,1989,1989,0,1,1,12,9,7,4,AdultMum,AdultDad,7,3
49,Female,0,1989,1990,1,0,1,12,9,7,4,AdultMum,AdultDad,7,3
50,Female,1,1989,1989,0,1,2,13,16,7,2,AdultMum,AdultDad,6,2
50,Female,1,1989,1990,1,0,2,13,16,7,2,AdultMum,AdultDad,6,2
50,Female,1,1989,1991,2,0,2,13,16,7,2,AdultMum,AdultDad,6,2
51,Female,0,1990,1990,0,0,11,36,27,5,2,AdultMum,AdultDad,8,3
51,Female,0,1990,1991,1,0,11,36,27,5,2,AdultMum,AdultDad,8,3
51,Female,0,1990,1992,2,1,11,36,27,5,2,AdultMum,AdultDad,8,3
51,Female,0,1990,1993,3,1,11,36,27,5,2,AdultMum,AdultDad,8,3
51,Female,0,1990,1994,4,1,11,36,27,5,2,AdultMum,AdultDad,8,3
51,Female,0,1990,1995,5,1,11,36,27,5,2,AdultMum,AdultDad,8,3
51,Female,0,1990,1996,6,1,11,36,27,5,2,AdultMum,AdultDad,8,3
51,Female,0,1990,1997,7,1,11,36,27,5,2,AdultMum,AdultDad,8,3
51,Female,0,1990,1998,8,2,11,36,27,5,2,AdultMum,AdultDad,8,3
51,Female,0,1990,1999,9,1,11,36,27,5,2,AdultMum,AdultDad,8,3
51,Female,0,1990,2000,10,1,11,36,27,5,2,AdultMum,AdultDad,8,3
51,Female,0,1990,2001,11,0,11,36,27,5,2,AdultMum,AdultDad,8,3
52,Female,0,1990,1990,0,1,1,67,10,2,5,AdultMum,AdultDad,11,7
52,Female,0,1990,1991,1,0,1,67,10,2,5,AdultMum,AdultDad,11,7
53,Female,1,1990,1990,0,0,8,65,49,2,0,AdultMum,LambDad,7,5
53,Female,1,1990,1991,1,1,8,65,49,2,0,AdultMum,LambDad,7,5
53,Female,1,1990,1992,2,1,8,65,49,2,0,AdultMum,LambDad,7,5
53,Female,1,1990,1993,3,1,8,65,49,2,0,AdultMum,LambDad,7,5
53,Female,1,1990,1994,4,1,8,65,49,2,0,AdultMum,LambDad,7,5
53,Female,1,1990,1995,5,1,8,65,49,2,0,AdultMum,LambDad,7,5
53,Female,1,1990,1996,6,1,8,65,49,2,0,AdultMum,LambDad,7,5
53,Female,1,1990,1997,7,1,8,65,49,2,0,AdultMum,LambDad,7,5
53,Female,1,1990,1998,8,0,8,65,49,2,0,AdultMum,LambDad,7,5
54,Female,0,1990,1990,0,1,1,54,40,3,1,AdultMum,AdultDad,4,3
54,Female,0,1990,1991,1,0,1,54,40,3,1,AdultMum,AdultDad,4,3
55,Male,0,1990,1990,0,1,1,78,13,1,4,AdultMum,AdultDad,13,9
55,Male,0,1990,1991,1,0,1,78,13,1,4,AdultMum,AdultDad,13,9
56,Male,0,1990,1990,0,1,4,83,10,1,5,AdultMum,AdultDad,10,7
56,Male,0,1990,1991,1,0,4,83,10,1,5,AdultMum,AdultDad,10,7
56,Male,0,1990,1992,2,0,4,83,10,1,5,AdultMum,AdultDad,10,7
56,Male,0,1990,1993,3,NA,4,83,10,1,5,AdultMum,AdultDad,10,7
56,Male,0,1990,1994,4,NA,4,83,10,1,5,AdultMum,AdultDad,10,7
57,Male,0,1990,1990,0,NA,5,86,10,0,5,LambMum,AdultDad,9,7
57,Male,0,1990,1991,1,0,5,86,10,0,5,LambMum,AdultDad,9,7
57,Male,0,1990,1992,2,NA,5,86,10,0,5,LambMum,AdultDad,9,7
57,Male,0,1990,1993,3,0,5,86,10,0,5,LambMum,AdultDad,9,7
57,Male,0,1990,1994,4,NA,5,86,10,0,5,LambMum,AdultDad,9,7
57,Male,0,1990,1995,5,NA,5,86,10,0,5,LambMum,AdultDad,9,7
58,Male,0,1990,1990,0,0,1,27,13,6,4,AdultMum,AdultDad,5,9
58,Male,0,1990,1991,1,0,1,27,13,6,4,AdultMum,AdultDad,5,9
59,Female,1,1990,1990,0,0,1,28,10,6,5,AdultMum,AdultDad,6,7
59,Female,1,1990,1991,1,NA,1,28,10,6,5,AdultMum,AdultDad,6,7
60,Male,0,1990,1990,0,1,5,18,44,7,0,AdultMum,LambDad,6,5
60,Male,0,1990,1991,1,0,5,18,44,7,0,AdultMum,LambDad,6,5
60,Male,0,1990,1992,2,3,5,18,44,7,0,AdultMum,LambDad,6,5
60,Male,0,1990,1993,3,2,5,18,44,7,0,AdultMum,LambDad,6,5
60,Male,0,1990,1994,4,NA,5,18,44,7,0,AdultMum,LambDad,6,5
60,Male,0,1990,1995,5,0,5,18,44,7,0,AdultMum,LambDad,6,5
61,Male,0,1990,1990,0,NA,1,44,10,5,5,AdultMum,AdultDad,9,7
61,Male,0,1990,1991,1,NA,1,44,10,5,5,AdultMum,AdultDad,9,7
62,Female,1,1990,1990,0,1,10,60,31,3,2,AdultMum,AdultDad,10,7
