ID,Sex,Twin,BirthYear,Survival,Lifespan,MotherID,FatherID,MumAge,DadAge,MumAgeClass,DadAgeClass,MumLifespan,DadLifespan
1,Male,0,2001,0,0,417,252,3,4,AdultMum,AdultDad,11,5
2,Female,0,2001,0,0,525,357,1,4,AdultMum,AdultDad,1,6
3,Female,0,1986,1,10,4,12,6,1,AdultMum,AdultDad,2,7
4,Female,0,1987,0,0,6,19,7,0,AdultMum,LambDad,3,2
5,Female,1,1987,0,0,27,13,4,2,AdultMum,AdultDad,6,3
6,Male,0,1987,1,1,23,3,5,6,AdultMum,AdultDad,6,3
7,Female,1,1987,1,10,10,10,6,3,AdultMum,AdultDad,3,3
8,Female,0,1987,1,1,7,5,7,5,AdultMum,AdultDad,3,3
9,Male,0,1987,1,2,71,6,1,4,AdultMum,AdultDad,8,3
10,Male,0,1987,0,0,49,13,3,2,AdultMum,AdultDad,11,3
11,Female,0,1987,0,0,90,3,0,6,LambMum,AdultDad,10,3
12,Female,0,1987,1,1,73,22,0,0,LambMum,LambDad,1,2
13,Female,0,1987,1,8,44,20,3,0,AdultMum,LambDad,8,2
14,Female,0,1987,1,1,51,26,2,0,AdultMum,LambDad,9,1
15,Female,0,1987,0,0,62,12,2,2,AdultMum,AdultDad,9,7
16,Female,1,1987,1,1,53,5,2,5,AdultMum,AdultDad,9,3
17,Male,1,1987,1,1,53,24,2,0,AdultMum,LambDad,9,2
18,Female,1,1987,0,0,39,12,3,2,AdultMum,AdultDad,6,7
19,Male,1,1987,1,1,39,12,3,2,AdultMum,AdultDad,6,7
20,Female,0,1987,1,4,38,12,3,2,AdultMum,AdultDad,7,7
21,Female,0,1987,0,0,72,22,1,0,AdultMum,LambDad,8,2
22,Female,0,1987,0,0,42,34,3,0,AdultMum,LambDad,6,2
23,Male,0,1987,1,1,69,15,1,1,AdultMum,AdultDad,9,3
24,Male,0,1987,1,1,46,16,3,1,AdultMum,AdultDad,3,3
25,Female,0,1987,1,1,75,20,0,0,LambMum,LambDad,4,2
26,Male,1,1987,1,1,21,11,5,2,AdultMum,AdultDad,3,3
27,Male,1,1987,1,1,21,4,5,6,AdultMum,AdultDad,3,3
28,Male,1,1987,1,3,66,5,2,5,AdultMum,AdultDad,8,3
29,Male,1,1987,0,0,66,33,2,0,AdultMum,LambDad,8,2
30,Male,1,1987,0,0,36,5,3,5,AdultMum,AdultDad,6,3
31,Male,0,1987,1,1,93,17,0,1,LambMum,AdultDad,2,9
32,Male,0,1987,1,1,59,32,2,0,AdultMum,LambDad,11,4
33,Female,0,1987,1,1,43,9,3,3,AdultMum,AdultDad,9,4
34,Female,0,1987,0,0,32,24,3,0,AdultMum,LambDad,8,2
35,Female,0,1987,1,1,12,10,6,3,AdultMum,AdultDad,2,3
36,Male,1,1987,1,1,14,7,6,4,AdultMum,AdultDad,3,3
37,Male,0,1987,1,1,2,11,8,2,AdultMum,AdultDad,3,3
38,Male,1,1987,1,1,10,10,6,3,AdultMum,AdultDad,3,3
39,Male,0,1987,1,7,50,5,3,5,AdultMum,AdultDad,12,3
40,Female,0,1987,1,10,34,11,3,2,AdultMum,AdultDad,11,3
41,Male,0,1988,0,0,77,69,1,0,AdultMum,LambDad,2,7
42,Male,0,1988,0,0,105,40,0,1,LambMum,AdultDad,1,2
43,Male,0,1988,0,0,99,7,0,5,LambMum,AdultDad,1,3
44,Female,0,1988,0,0,97,29,0,1,LambMum,AdultDad,1,2
45,Female,0,1988,0,0,72,62,2,0,AdultMum,LambDad,8,1
46,Male,0,1988,0,0,44,12,4,3,AdultMum,AdultDad,8,7
47,Male,0,1988,0,0,75,24,1,1,AdultMum,AdultDad,4,2
48,Male,0,1988,0,0,10,11,7,3,AdultMum,AdultDad,3,3
49,Female,1,1988,0,0,29,23,5,1,AdultMum,AdultDad,6,2
50,Male,1,1988,0,0,42,50,4,0,AdultMum,LambDad,6,1
51,Female,1,1988,0,0,1,13,10,3,AdultMum,AdultDad,3,3
52,Male,0,1988,0,0,110,35,0,1,LambMum,AdultDad,1,2
53,Female,1,1988,1,1,65,55,3,0,AdultMum,LambDad,9,1
54,Male,0,1988,0,0,76,59,1,0,AdultMum,LambDad,2,1
55,Female,1,1988,0,0,7,23,8,1,AdultMum,AdultDad,3,2
56,Male,1,1988,0,0,7,12,8,3,AdultMum,AdultDad,3,7
57,Female,0,1988,0,0,74,4,1,7,AdultMum,AdultDad,2,3
58,Male,0,1988,0,0,91,20,1,1,AdultMum,AdultDad,10,2
59,Female,0,1988,0,0,89,57,1,0,AdultMum,LambDad,15,1
60,Male,0,1988,0,0,49,12,4,3,AdultMum,AdultDad,11,7
61,Female,0,1988,1,1,21,42,6,1,AdultMum,AdultDad,3,2
62,Female,1,1988,0,0,27,41,5,1,AdultMum,AdultDad,6,1
63,Female,0,1988,0,0,26,4,5,7,AdultMum,AdultDad,6,3
64,Female,1,1988,0,0,5,51,8,0,AdultMum,LambDad,3,0
65,Female,1,1988,0,0,5,40,8,1,AdultMum,AdultDad,3,2
66,Female,0,1988,0,0,119,54,0,0,LambMum,LambDad,1,1
67,Female,0,1988,0,0,106,2,0,8,LambMum,AdultDad,1,3
68,Male,0,1988,1,2,47,11,4,3,AdultMum,AdultDad,9,3
69,Male,0,1988,0,0,109,25,0,1,LambMum,AdultDad,3,2
70,Female,0,1988,0,0,95,60,0,0,LambMum,LambDad,1,1
71,Male,0,1988,0,0,94,48,0,0,LambMum,LambDad,10,1
72,Male,0,1988,0,0,54,7,3,5,AdultMum,AdultDad,6,3
73,Female,0,1988,0,0,51,11,3,3,AdultMum,AdultDad,9,3
74,Male,0,1988,0,0,78,56,1,0,AdultMum,LambDad,2,1
75,Male,1,1988,0,0,50,36,4,1,AdultMum,AdultDad,12,2
76,Female,1,1988,0,0,50,36,4,1,AdultMum,AdultDad,12,2
77,Male,0,1988,0,0,2,48,9,0,AdultMum,LambDad,3,1
78,Male,0,1988,0,0,101,10,0,4,LambMum,AdultDad,1,3
79,Male,0,1988,0,0,82,5,1,6,AdultMum,AdultDad,2,3
80,Female,0,1988,1,7,32,35,4,1,AdultMum,AdultDad,8,2
81,Male,0,1988,0,0,98,72,0,0,LambMum,LambDad,1,1
82,Female,0,1988,0,0,52,63,3,0,AdultMum,LambDad,8,1
83,Female,0,1988,0,0,19,11,6,3,AdultMum,AdultDad,7,3
84,Female,0,1988,0,0,53,12,3,3,AdultMum,AdultDad,9,7
85,Female,1,1988,0,0,15,7,7,5,AdultMum,AdultDad,3,3
86,Male,0,1988,0,0,96,61,0,0,LambMum,LambDad,1,1
87,Male,0,1988,0,0,45,11,4,3,AdultMum,AdultDad,8,3
88,Female,0,1988,0,0,84,35,1,1,AdultMum,AdultDad,4,2
89,Female,0,1988,0,0,83,5,1,6,AdultMum,AdultDad,2,3
90,Female,0,1988,0,0,114,23,0,1,LambMum,AdultDad,1,2
91,Female,0,1988,0,0,79,38,1,1,AdultMum,AdultDad,2,2
92,Female,0,1988,0,0,104,37,0,1,LambMum,AdultDad,1,2
